parameter,unit,group,n_campaigns
"1,2,3-Benzotriazole",ug/L,micropollutant,4
"1,2,5,6,9,10-Hexabromocyclododecane",ug/L,micropollutant,4
"1,3-Dinitropyrene",ug/L,micropollutant,4
"1,6-Dinitropyrene",ug/L,micropollutant,4
"1,8-Dinitropyrene",ug/L,micropollutant,4
1-Hydroxyibuprofen,ug/L,micropollutant,4
17-alpha-Estradiol,ug/L,micropollutant,4
17-alpha-Ethinylestradiol,ug/L,micropollutant,4
17-beta-Estradiol,ug/L,micropollutant,4
"2,2',3,3',4,4',5,5',6,6'-Decabromodiphenyl ether",ug/L,micropollutant,4
"2,2',3,3',4,4',5,5',6-Nonabromodiphenyl ether",ug/L,micropollutant,4
"2,2',3,4,4',5',6-Heptabromodiphenyl ether",ug/L,micropollutant,4
"2,2',3,4,4',5,5',6-Octabromodiphenyl ether",ug/L,micropollutant,4
"2,2',4,4',5,5'-Hexabromodiphenyl ether",ug/L,micropollutant,4
"2,2',4,4',5,6'-Hexabromodiphenyl ether",ug/L,micropollutant,4
"2,2',4,4'-Tetrabromodiphenyl ether",ug/L,micropollutant,4
"2,3,3',4,4',5,5',6-Octabromodiphenyl ether",ug/L,micropollutant,4
"2,4,4'-tribromodiphenylether",ug/L,micropollutant,4
"2,4,6-Tribromophenol",ug/L,micropollutant,4
"2,4-Dibromophenol",ug/L,micropollutant,4
"2,4-Dihydroxybenzophenone",ug/L,micropollutant,4
"2,4-Dinitrophenol",ug/L,micropollutant,4
2-(2-Naphthalenyl)benzothiophene,ug/L,micropollutant,4
2-Hydroxyibuprofen,ug/L,micropollutant,4
2-Mercapto-benzothiazole,ug/L,micropollutant,4
2-Methylanthraquinone,ug/L,micropollutant,4
3-Chloroaniline,ug/L,micropollutant,4
3-Nitrobenzanthrone,ug/L,micropollutant,4
"4,4'-Dichlorobenzophenone",ug/L,micropollutant,4
4-Aminomethyl-benzenesulfonamide,ug/L,micropollutant,4
4-Chloroaniline,ug/L,micropollutant,4
4-Methyl-1H-benzotriazole,ug/L,micropollutant,4
4-Methylbenzylidenecamphor,ug/L,micropollutant,4
4-Nonylphenoxy acetic acid,ug/L,micropollutant,4
4-tert-Octylphenol diethoxylate,ug/L,micropollutant,4
4-tert-Octylphenol monoethoxylate,ug/L,micropollutant,4
"5,6-Dimethyl-1H-benzotriazole",ug/L,micropollutant,4
